"state","Rt","N","New","NDeaths","NBig","NDays"
Alabama,1.449198176711211,65234,2143,1286,100000,10
Alaska,1.2941597456916187,2157,74,16,10000,33
Arizona,1.168355283067926,141333,2758,2733,1000000,0
Arkansas,1.2618089541716209,32533,771,357,100000,45
California,1.1350475887658973,380512,5590,7660,1000000,43
Colorado,1.335357715117843,39811,402,1753,100000,37
Connecticut,1.7253112825942243,47893,0,4396,100000,0
Delaware,1.4576840817348145,13429,92,523,100000,0
District of Columbia,1.4027391357095773,11194,79,578,100000,0
Florida,1.233206226558578,337561,10328,4894,1000000,29
Georgia,1.4048497618695097,128341,4074,3105,1000000,0
Hawaii,1.1383087967121004,1332,20,23,10000,0
Idaho,1.380885441715721,14433,554,120,100000,40
Illinois,1.3735134350823732,162055,1152,7486,1000000,0
Indiana,1.499457810960085,57045,885,2820,100000,25
Iowa,0.9469477997877211,38041,138,789,100000,0
Kansas,1.0739903497072405,22237,41,312,100000,0
Kentucky,1.4836071986049273,22746,584,688,100000,37
Louisiana,1.384745899015064,88700,0,3509,100000,4
Maine,1.3795611314969531,3646,10,117,10000,0
Maryland,1.5040499693103078,77773,832,3368,100000,16
Massachusetts,1.4415801201067977,113238,359,8419,1000000,0
Michigan,1.390365407071854,81384,632,6367,100000,14
Minnesota,1.1752859586083142,45510,457,1578,100000,40
Mississippi,1.445686719159302,41846,1017,1346,100000,29
Missouri,1.383247888999028,34363,827,1158,100000,28
Montana,1.3168263871227492,2471,88,37,10000,19
Nebraska,1.1775967899261932,22545,184,308,100000,0
Nevada,1.5435426785558555,34606,1234,647,100000,25
New Hampshire,1.3471190076963278,6188,23,396,10000,0
New Jersey,0.9368332837674314,178788,263,15699,1000000,0
New Mexico,1.3138841161512245,16736,280,569,100000,0
New York,1.2767614564942578,411006,752,32167,1000000,0
North Carolina,1.3432713703710493,98182,2437,1653,100000,1
North Dakota,1.5323887410060382,4911,115,94,10000,18
Ohio,1.375475685977094,73822,1542,3132,100000,12
Oklahoma,1.4186294151373338,25056,916,451,100000,33
Oregon,1.3871833275118903,14231,423,259,100000,0
Pennsylvania,1.2173596850981723,104780,608,7068,1000000,0
Puerto Rico,1.6381182507093806,11453,333,178,100000,45
Rhode Island,1.5303782291520398,17793,0,990,100000,0
South Carolina,1.18372799294271,67612,1552,1135,100000,13
South Dakota,1.4581398812401394,7862,73,116,10000,26
Tennessee,1.4598343207199695,74518,2446,828,100000,8
Texas,1.2613596202269892,329733,8491,3967,1000000,30
Utah,1.360459824780274,33430,858,243,100000,54
Vermont,1.4177399140522282,1338,4,56,10000,0
Virginia,1.362525812505542,76373,940,2025,100000,14
Washington,1.1328902800283702,47563,337,1499,100000,32
West Virginia,1.280867790627164,4922,139,100,10000,22
Wisconsin,1.321208217310108,45118,875,852,100000,28
Wyoming,1.4027487364214788,2108,39,24,10000,0
