"country","Rt","N","New","NDeaths","NActive","NBig","NDays"
Afghanistan,0.9141628476296075,35070,76,1113,11133,100000,0
Albania,1.3483847305622134,3851,99,104,1610,10000,32
Algeria,1.3765227921736467,21355,585,1052,5196,100000,47
Andorra,4.782640881328458,877,15,52,22,1000,-1
Angola,1.6605602392026533,607,31,28,455,1000,7
Argentina,1.3525229655626856,114783,3637,2112,63551,1000000,0
Australia,1.7611443963198248,11233,423,116,3003,100000,32
Austria,1.401434589697332,19270,116,711,1315,100000,0
Bahrain,1.201914047089709,35084,524,121,4154,100000,0
Bangladesh,1.169450448194845,196323,2733,2496,86864,1000000,0
Belarus,1.0419815391027472,65623,180,485,8223,100000,0
Belgium,2.0406379104264873,63238,366,9795,36190,100000,51
Benin,2.037461378997926,1463,85,28,878,10000,-1
Bolivia,1.4332334477548632,54156,1938,1984,35193,100000,20
Bosnia and Herzegovina,1.3957310682145643,7681,270,240,3907,10000,7
Botswana,3.092420701348491,522,123,1,473,1000,-1
Brazil,1.2892088597257272,2012151,45403,76688,537932,10000000,0
Bulgaria,1.353374456526649,8144,267,293,3924,10000,6
Burundi,2.9124053046152185,303,34,1,95,1000,-1
Cabo Verde,2.1361568802302036,1894,114,19,973,10000,-1
Cameroon,2.165530074889898,16157,984,373,2056,100000,-1
Canada,1.4669384509206673,111144,451,8875,27836,1000000,0
Chile,1.000099244552492,323698,2493,7290,21107,1000000,0
China,1.7808123800953264,85314,68,4644,652,100000,31
Colombia,1.3344150815143818,165169,5271,6164,87269,1000000,48
Congo (Brazzaville),1.8561053037194875,2358,136,48,1721,10000,36
Congo (Kinshasa),0.7080965466238474,8199,36,193,3758,10000,36
Costa Rica,1.4928389651388114,9546,560,42,6831,10000,1
Cote d'Ivoire,1.0370465829303528,13554,151,87,6104,100000,0
Croatia,1.3333167682647629,4039,86,120,1190,10000,34
Czechia,1.3899653924811688,13612,137,355,4617,100000,0
Dominican Republic,1.28245688567656,48743,1072,941,24166,100000,24
Ecuador,1.2734446230302827,71365,1036,5207,34898,100000,22
Egypt,1.0935490501005791,85771,928,4120,54960,100000,18
El Salvador,1.3321070643895336,10957,312,298,4402,100000,0
Eritrea,3.2060241397481284,251,19,0,102,1000,-1
Eswatini,1.3693429031723858,1552,63,21,795,10000,38
Ethiopia,1.39919540680499,8475,294,148,5897,10000,3
France,1.29714725954301,211102,534,30141,101800,1000000,0
Germany,1.4562348735692445,201450,560,9087,5963,1000000,0
Ghana,1.1408731027369003,26125,695,139,3716,100000,0
Greece,1.1947983252554168,3939,29,193,2372,10000,38
Guatemala,1.2675144947359565,32939,865,1404,26728,100000,44
Guinea,1.2974425112577326,6359,83,39,1308,10000,20
Guinea-Bissau,2.453890194555526,1902,60,26,1103,10000,-1
Haiti,1.6856439406930641,6948,117,145,3197,10000,0
Honduras,1.3703810809993595,30867,831,835,26612,100000,0
Hungary,1.8675136439080058,4279,16,595,528,10000,0
India,1.4172233226802131,1003832,34975,25602,342473,10000000,0
Indonesia,1.1504981614550958,81668,1574,3873,37450,100000,9
Iran,1.2064479515678115,267061,2500,13608,22845,1000000,0
Iraq,1.1396591542336008,86148,2281,3522,28310,100000,5
Israel,1.5377666985927747,46059,1871,384,25305,100000,13
Italy,1.1655933523295958,243736,230,35017,12473,1000000,0
Japan,1.5697484043623988,23510,338,985,3884,100000,28
Kazakhstan,1.1314873366059817,66895,1707,375,26264,100000,-1
Kenya,1.4486073976376412,11673,421,217,7818,100000,50
South Korea,1.3543893550597228,13672,60,293,919,100000,0
Kuwait,1.2388551491842192,57668,791,402,9721,100000,48
Kyrgyzstan,1.066837480611172,12498,216,167,8596,100000,0
Lebanon,1.4432270104340423,2599,57,40,1074,10000,14
Libya,1.2051491014651519,1652,63,46,1227,10000,0
Lithuania,2.638962074942123,1902,20,79,230,10000,51
Luxembourg,1.9483835242632155,5285,163,111,899,10000,16
Madagascar,1.5905646481346736,6089,484,53,3085,10000,6
Malawi,1.241175620632094,2712,98,51,1588,10000,32
Maldives,1.602778243802731,2899,68,15,545,10000,26
Mauritania,1.2397794522981944,5659,95,150,2516,10000,0
Mexico,1.2211152495732176,324041,6406,37574,28786,1000000,0
Moldova,1.2946196653765858,20264,224,666,5958,100000,0
Morocco,1.1329844125027435,16545,283,263,2317,100000,0
Mozambique,1.9336478182945247,1383,53,9,999,10000,31
Namibia,1.588321423631348,1032,72,2,999,10000,36
Nepal,0.969770649501047,17344,167,39,6056,100000,-1
Netherlands,1.6050869301162605,51572,101,6156,45222,100000,0
Nigeria,1.2484193993718424,34854,595,769,19793,100000,0
North Macedonia,1.101762976543395,8623,93,401,3657,10000,8
Oman,1.2405492487774206,62574,1327,290,22194,100000,16
Panama,1.2552814642676997,50373,1130,1000,23531,100000,26
Paraguay,1.7512594544772946,3342,144,27,1936,10000,-1
Peru,1.2822130298441445,341586,3835,12615,97977,1000000,0
Philippines,1.3188270901089374,61266,2416,1643,38183,100000,18
Poland,1.2676770277262648,39054,333,1605,8521,100000,0
Portugal,1.1270426392044084,47765,339,1679,13610,100000,0
Qatar,1.0640224417848048,105477,494,152,3157,1000000,0
Romania,1.488230019579846,35003,777,1971,10843,100000,33
Russia,1.17827792929941,751612,6415,11920,208891,1000000,33
Rwanda,1.3399017033558307,1473,38,4,699,10000,0
Saudi Arabia,1.0536609809383954,243238,2764,2370,53246,1000000,0
Senegal,1.2073852861580239,8481,112,156,2590,10000,14
Serbia,1.3081922958581047,19717,383,442,4858,100000,0
Singapore,1.5032624789641251,47126,248,27,3843,100000,0
Slovakia,1.3047993758827596,1951,24,28,409,10000,0
Slovenia,1.2346902961226331,1897,19,111,264,10000,0
Somalia,1.6557958717282268,3106,23,93,1569,10000,0
South Africa,1.3202349142508236,324221,13172,4669,153961,1000000,25
South Sudan,2.3676870316093956,2171,18,41,955,10000,-1
Spain,1.9503875981695493,258855,1361,28416,80063,1000000,46
Sri Lanka,0.7109923022366103,2687,16,11,669,10000,11
Suriname,2.044024687760688,904,67,18,305,1000,2
Sweden,1.0539638942056782,76877,385,5593,71284,100000,0
Switzerland,1.4733044154539074,33290,142,1969,1421,100000,0
Syria,2.1035155304147315,477,19,22,315,1000,-1
Togo,1.888790623856434,749,9,15,191,1000,-1
Turkey,1.1102851775188938,216873,933,5440,12613,1000000,0
US,1.3799313640419864,3576157,77255,138358,2347154,10000000,39
Ukraine,1.2456401148765568,57640,861,1462,26356,100000,49
United Arab Emirates,0.8596116773569911,56129,281,335,8382,100000,0
United Kingdom,1.3322921699387744,294116,647,45204,247509,1000000,0
Uruguay,2.7219744000442967,1026,17,32,78,10000,0
Uzbekistan,1.359052771441167,15066,485,75,6208,100000,40
Venezuela,1.3735636887855573,10854,426,104,7495,100000,0
West Bank and Gaza,1.2272157429237438,7412,348,51,6048,10000,7
Zimbabwe,2.8609153716548317,1362,273,23,914,10000,-1
